defect_id,timestamp,billet_id,furnace_no,plan_no,camera_id,face_id,defect_type,confidence,bbox,image_path,length_pos,width_pos,severity,review_status,frame_no,billet_speed_mps,image_width,image_height,length_region,width_region
D0001,2026-06-14T08:30:12,B20260614001,F25061401,P-A36-001,CAM01,top,裂纹,0.94,"{""x"":120,""y"":210,""w"":180,""h"":44}",data/images/B20260614001_CAM01_0012.jpg,0.06,0.14,critical,confirmed,12,1.2,2048,1024,head,edge
D0002,2026-06-14T08:34:41,B20260614001,F25061401,P-A36-001,CAM02,right,结疤,0.88,"{""x"":930,""y"":180,""w"":130,""h"":95}",data/images/B20260614001_CAM02_0061.jpg,0.34,0.49,major,confirmed,61,1.2,2048,1024,middle,center
D0003,2026-06-14T08:36:07,B20260614001,F25061401,P-A36-001,CAM04,left,划伤,0.81,"{""x"":1660,""y"":350,""w"":240,""h"":36}",data/images/B20260614001_CAM04_0078.jpg,0.45,0.87,minor,pending,78,1.2,2048,1024,middle,edge
D0004,2026-06-14T08:42:52,B20260614002,F25061401,P-A36-001,CAM03,bottom,氧化皮,0.79,"{""x"":710,""y"":260,""w"":190,""h"":120}",data/images/B20260614002_CAM03_0025.jpg,0.12,0.39,minor,confirmed,25,1.2,2048,1024,head,center
D0005,2026-06-14T08:46:18,B20260614002,F25061401,P-A36-001,CAM03,bottom,凹坑,0.83,"{""x"":1440,""y"":490,""w"":90,""h"":86}",data/images/B20260614002_CAM03_0071.jpg,0.58,0.73,major,confirmed,71,1.2,2048,1024,middle,center
D0006,2026-06-14T08:50:03,B20260614003,F25061402,P-A36-002,CAM02,right,裂纹,0.91,"{""x"":180,""y"":190,""w"":220,""h"":40}",data/images/B20260614003_CAM02_0018.jpg,0.09,0.14,critical,confirmed,18,1.15,2048,1024,head,edge
D0007,2026-06-14T08:53:29,B20260614003,F25061402,P-A36-002,CAM02,right,夹渣,0.86,"{""x"":1540,""y"":330,""w"":120,""h"":98}",data/images/B20260614003_CAM02_0068.jpg,0.51,0.78,major,pending,68,1.15,2048,1024,middle,center
D0008,2026-06-14T08:59:44,B20260614003,F25061402,P-A36-002,CAM01,top,麻点,0.76,"{""x"":980,""y"":410,""w"":88,""h"":70}",data/images/B20260614003_CAM01_0106.jpg,0.82,0.50,minor,confirmed,106,1.15,2048,1024,tail,center
D0009,2026-06-14T09:04:10,B20260614004,F25061402,P-A36-002,CAM04,left,裂纹,0.95,"{""x"":1740,""y"":220,""w"":210,""h"":46}",data/images/B20260614004_CAM04_0017.jpg,0.08,0.90,critical,confirmed,17,1.15,2048,1024,head,edge
D0010,2026-06-14T09:06:33,B20260614004,F25061402,P-A36-002,CAM04,left,划伤,0.84,"{""x"":1510,""y"":380,""w"":290,""h"":34}",data/images/B20260614004_CAM04_0038.jpg,0.22,0.81,minor,confirmed,38,1.15,2048,1024,middle,edge
D0011,2026-06-14T09:11:24,B20260614004,F25061402,P-A36-002,CAM02,right,裂纹,0.93,"{""x"":210,""y"":310,""w"":170,""h"":52}",data/images/B20260614004_CAM02_0089.jpg,0.67,0.14,critical,confirmed,89,1.15,2048,1024,middle,edge
